Departamento,Distrito,NIT_Distrito,Codigo_Zona,Area_km2,Poblacion,Densidad_HabKm2
MORAZAN,TOROLA,1324-131079-001-2,TOROLA-1324-NORTE,,,
MORAZAN,YAMABAL,1325-131079-001-2,YAMABAL-1325-SUR,,,
MORAZAN,YOLOAIQUIN,1326-131079-001-2,YOLOAIQUIN-1326-SUR,,,
LA UNION,ANAMOROS,1401-141079-001-0,ANAMOROS-1401-NORTE,1155.65,115296.0,99.77
LA UNION,BOLIVAR,1402-141079-001-0,BOLIVAR-1402-NORTE,,,
LA UNION,CONCEPCION DE ORIENTE,1403-141079-001-0,CONCEPCION DE ORIENTE-1403-NORTE,,,
LA UNION,CONCHAGUA,1404-141079-001-0,CONCHAGUA-1404-SUR,918.74,124964.0,136.02
LA UNION,EL CARMEN,1405-141079-001-0,EL CARMEN-1405-SUR,,,
LA UNION,EL SAUCE,1406-141079-001-0,EL SAUCE-1406-NORTE,,,
LA UNION,INTIPUCA,1407-141079-001-0,INTIPUCA-1407-SUR,,,
LA UNION,LA UNION,1408-010611-001-9,LA UNION-1408-SUR,,,
LA UNION,LISLIQUE,1409-141079-001-0,LISLIQUE-1409-NORTE,,,
LA UNION,MEANGUERA DEL GOLFO,1410-170616-001-9,MEANGUERA DEL GOLFO-1410-SUR,,,
LA UNION,NUEVA ESPARTA,1411-141079-001-1,NUEVA ESPARTA-1411-NORTE,,,
LA UNION,PASAQUINA,1412-141079-001-1,PASAQUINA-1412-NORTE,,,
LA UNION,POLOROS,1413-141079-001-1,POLOROS-1413-NORTE,,,
LA UNION,SAN ALEJO,1414-141079-001-1,SAN ALEJO-1414-SUR,,,
LA UNION,SAN JOSE,1415-141079-001-1,SAN JOSE-1415-NORTE,,,
LA UNION,SANTA ROSA DE LIMA,1416-010611-001-0,SANTA ROSA DE LIMA-1416-NORTE,,,
LA UNION,YAYANTIQUE,1417-141079-001-1,YAYANTIQUE-1417-SUR,,,
LA UNION,YUCUAIQUIN,1418-141079-001-1,YUCUAIQUIN-1418-SUR,,,
